Date,Open,High,Low,Close,AdjClose,Volume
7/31/2016,5027.62,5334.12,4971.58,5215.99,5215.79,820797400
8/31/2016,5280.21,5476.22,5279.59,5386.08,5385.87,1302848100
9/30/2016,5368.52,5474.31,5128.17,5364.8,5364.6,998311900
10/31/2016,5403.86,5482.84,5332.08,5422.54,5422.33,2081029400
11/30/2016,5430.75,5491.7,5043.35,5148.91,5148.91,21307462600
12/31/2016,5168.63,5334.79,5022.85,5296.71,5296.71,1239015300
1/31/2017,5290.39,5360.06,5228.29,5294.1,5294.1,2453053100
2/28/2017,5319.94,5418.38,5317.5,5386.69,5386.69,3216845000
3/31/2017,5389.17,5606.02,5350.91,5568.11,5568.11,1766313600
4/30/2017,5583.35,5726.53,5577.49,5685.3,5685.3,1229812800
5/31/2017,5703.87,5874.44,5577.52,5738.15,5738.15,1289370400
6/30/2017,5749.42,5831.34,5668.72,5829.71,5829.71,723336100
7/31/2017,5846.6,5910.24,5756.51,5840.94,5840.94,959742600
8/31/2017,5853.51,5916.82,5749.29,5864.06,5864.06,1267802200
9/30/2017,5858.21,5928.79,5774.31,5900.85,5900.85,1078401500
10/31/2017,5917.75,6042.45,5860.76,6005.78,6005.78,1322968600
11/30/2017,6017.04,6098.78,5952.14,5952.14,5952.14,1299946900
12/31/2017,6053.03,6368.32,5952.14,6355.65,6355.65,982689900
1/31/2018,6366.08,6686.35,6220.69,6605.63,6605.63,1891536000
2/28/2018,6625.35,6693.47,6426.76,6597.22,6597.22,2055828000
3/31/2018,6605.31,6630.13,6085.21,6188.99,6188.99,1666308400
4/30/2018,6194.51,6380.35,5885.34,5994.6,5994.6,1359633300
5/31/2018,5999.36,6095.83,5716.65,5983.59,5983.59,1288503300
6/30/2018,6004.12,6116.43,5661.01,5799.24,5799.24,800124100
7/31/2018,5828.5,6027.94,5557.56,5936.44,5936.44,1320595600
8/31/2018,5952.94,6117.29,5689.94,6018.46,6018.46,1257577100
9/30/2018,6025.41,6026.92,5621.6,5976.55,5976.55,1210011400
10/31/2018,5950.86,5982.06,5623.84,5831.65,5831.65,1536887300
11/30/2018,5855.22,6117.19,5747.53,6056.12,6056.12,1388272200
12/31/2018,6118.06,6212.13,6014.79,6194.5,6194.5,1220062100
1/31/2019,6197.87,6544.48,6164.83,6532.97,6532.97,2024844500
2/28/2019,6552.06,6581.73,6374.9,6443.35,6443.35,1955163100
3/31/2019,6468.62,6537.23,6337.87,6468.75,6468.75,1987558400
4/30/2019,6485.72,6636.33,6321.66,6455.35,6455.35,1894855300
5/31/2019,6458.12,6465.77,5767.4,6209.12,6209.12,1874205900
6/30/2019,6277.29,6377.35,6190.52,6358.63,6358.63,1493251700
7/31/2019,6381.18,6468.25,6283.6,6390.5,6390.5,2944633300
8/31/2019,6385.26,6404.58,6022.6,6328.47,6328.47,2443573100
9/30/2019,6331.15,6414.48,6086,6169.1,6169.1,2340055700
10/31/2019,6163.98,6348.31,5988.87,6228.32,6228.32,2878992300
11/30/2019,6225.81,6274.29,5939.4,6011.83,6011.83,1357642000
12/31/2019,6023.61,6337.34,6023.01,6299.54,6299.54,884041200
