data_ihsg_2007_2024-2
Date,Open,High,Low,Close,AdjClose,Volume,Inflasi,Kurs Jual,Kurs Beli,Kurs Tengah
5/31/2016,4828.96,4845.12,4690.56,4796.87,4796.68,7127888400,3.33%,13486.7,13352.6,13419.65
6/30/2016,4801.85,5033.24,4754.36,5016.65,5016.45,3606220300,3.45%,13421.68182,13288.40909,13355.04545
7/31/2016,5027.62,5334.12,4971.58,5215.99,5215.79,820797400,3.21%,13184.52941,13053.11765,13118.82353
8/31/2016,5280.21,5476.22,5279.59,5386.08,5385.87,1302848100,2.79%,13230.90909,13099.09091,13165
9/30/2016,5368.52,5474.31,5128.17,5364.8,5364.6,998311900,3.07%,13183.7619,13052.71429,13118.2381
10/31/2016,5403.86,5482.84,5332.08,5422.54,5422.33,2081029400,3.31%,13082.2381,12952.2381,13017.2381
11/30/2016,5430.75,5491.7,5043.35,5148.91,5148.91,21307462600,3.58%,13377.04545,13243.95455,13310.5
12/31/2016,5168.63,5334.79,5022.85,5296.71,5296.71,1239015300,3.02%,13484.7619,13350.57143,13417.66667
1/31/2017,5290.39,5360.06,5228.29,5294.1,5294.1,2453053100,3.49%,13425.66667,13291.7619,13358.71429
2/28/2017,5319.94,5418.38,5317.5,5386.69,5386.69,3216845000,3.83%,13407.84211,13273.84211,13340.84211
3/31/2017,5389.17,5606.02,5350.91,5568.11,5568.11,1766313600,3.61%,13412.5,13278.5,13345.5
4/30/2017,5583.35,5726.53,5577.49,5685.3,5685.3,1229812800,4.17%,13372.88889,13239.88889,13306.38889
5/31/2017,5703.87,5874.44,5577.52,5738.15,5738.15,1289370400,4.33%,13390.1,13256.6,13323.35
6/30/2017,5749.42,5831.34,5668.72,5829.71,5829.71,723336100,4.37%,13364.625,13231.875,13298.25
7/31/2017,5846.6,5910.24,5756.51,5840.94,5840.94,959742600,3.88%,13409.09524,13275.09524,13342.09524
8/31/2017,5853.51,5916.82,5749.29,5864.06,5864.06,1267802200,3.82%,13408.81818,13274.81818,13341.81818
9/30/2017,5858.21,5928.79,5774.31,5900.85,5900.85,1078401500,3.72%,13370,13236.94737,13303.47368
10/31/2017,5917.75,6042.45,5860.76,6005.78,6005.78,1322968600,3.58%,13593.68182,13458.31818,13526
11/30/2017,6017.04,6098.78,5952.14,5952.14,5952.14,1299946900,3.30%,13595.36364,13459.36364,13527.36364
12/31/2017,6053.03,6368.32,5952.14,6355.65,6355.65,982689900,3.61%,13624.21053,13488.21053,13556.21053
1/31/2018,6366.08,6686.35,6220.69,6605.63,6605.63,1891536000,3.25%,13447.36364,13313.36364,13380.36364
2/28/2018,6625.35,6693.47,6426.76,6597.22,6597.22,2055828000,3.18%,13657.94737,13522.15789,13590.05263
3/31/2018,6605.31,6630.13,6085.21,6188.99,6188.99,1666308400,3.40%,13827.28571,13689.28571,13758.28571
4/30/2018,6194.51,6380.35,5885.34,5994.6,5994.6,1359633300,3.41%,13872.04762,13733.85714,13802.95238
5/31/2018,5999.36,6095.83,5716.65,5983.59,5983.59,1288503300,3.23%,14130,13989.4,14059.7
6/30/2018,6004.12,6116.43,5661.01,5799.24,5799.24,800124100,3.12%,14106.35714,13965.92857,14036.14286
7/31/2018,5828.5,6027.94,5557.56,5936.44,5936.44,1320595600,3.18%,14486.63636,14342.36364,14414.5
8/31/2018,5952.94,6117.29,5689.94,6018.46,6018.46,1257577100,3.20%,14632.57143,14487.14286,14559.85714
9/30/2018,6025.41,6026.92,5621.6,5976.55,5976.55,1210011400,2.88%,14943,14794.47368,14868.73684
10/31/2018,5950.86,5982.06,5623.84,5831.65,5831.65,1536887300,3.16%,15254.73913,15103,15178.86957
11/30/2018,5855.22,6117.19,5747.53,6056.12,6056.12,1388272200,3.23%,14770.38095,14623.33333,14696.85714
12/31/2018,6118.06,6212.13,6014.79,6194.5,6194.5,1220062100,3.13%,14569.47368,14424.42105,14496.94737
1/31/2019,6197.87,6544.48,6164.83,6532.97,6532.97,2024844500,2.82%,14233.90909,14092.36364,14163.13636
